Map,Half,CT Score,TR Score,Players JSON,Date,Match ID
de_inferno,First Half,5,10,"[{""name"": ""OBBE_ex"", ""kills"": 16, ""deaths"": 11, ""flag"": ""🇩"", ""team"": ""CT""}, {""name"": ""亡廾乇亡片爪丹卞乇"", ""kills"": 12, ""deaths"": 13, ""flag"": ""🇩"", ""team"": ""CT""}, {""name"": ""Henri"", ""kills"": 9, ""deaths"": 13, ""flag"": ""🇧"", ""team"": ""CT""}, {""name"": ""АFК"", ""kills"": 2, ""deaths"": 13, ""flag"": ""🇳"", ""team"": ""CT""}, {""name"": ""Burakkkkkkk"", ""kills"": 28, ""deaths"": 8, ""flag"": ""🇩"", ""team"": ""TR""}, {""name"": ""TRACK"", ""kills"": 12, ""deaths"": 9, ""flag"": ""🇧"", ""team"": ""TR""}, {""name"": ""Shahmen"", ""kills"": 12, ""deaths"": 7, ""flag"": ""🇺"", ""team"": ""TR""}, {""name"": ""lilithhh"", ""kills"": 11, ""deaths"": 6, ""flag"": ""🇷"", ""team"": ""TR""}]",2025-09-20,1
de_inferno,Second Half,5,9,"[{""name"": ""lilithhh"", ""kills"": 15, ""deaths"": 10, ""flag"": ""🇷"", ""team"": ""CT""}, {""name"": ""rObalO"", ""kills"": 14, ""deaths"": 12, ""flag"": ""🇧"", ""team"": ""CT""}, {""name"": ""TRACK"", ""kills"": 8, ""deaths"": 14, ""flag"": ""🇧"", ""team"": ""CT""}, {""name"": ""Shahmen"", ""kills"": 3, ""deaths"": 14, ""flag"": ""🇺"", ""team"": ""CT""}, {""name"": ""OBBE_ex"", ""kills"": 19, ""deaths"": 10, ""flag"": ""🇩"", ""team"": ""TR""}, {""name"": ""亡廾乇亡片爪丹卞乇"", ""kills"": 16, ""deaths"": 10, ""flag"": ""🇩"", ""team"": ""TR""}, {""name"": ""АFК"", ""kills"": 8, ""deaths"": 9, ""flag"": ""🇳"", ""team"": ""TR""}, {""name"": ""Edog"", ""kills"": 4, ""deaths"": 11, ""flag"": ""🇨"", ""team"": ""TR""}, {""name"": ""Henri"", ""kills"": 2, ""deaths"": 1, ""flag"": ""🇧"", ""team"": ""TR""}]",2025-09-20,1
de_inferno,Second Half,5,10,"[{""name"": ""lilithhh"", ""kills"": 16, ""deaths"": 11, ""flag"": ""🇷"", ""team"": ""CT""}, {""name"": ""rObalO"", ""kills"": 14, ""deaths"": 12, ""flag"": ""🇧"", ""team"": ""CT""}, {""name"": ""TRACK"", ""kills"": 8, ""deaths"": 14, ""flag"": ""🇧"", ""team"": ""CT""}, {""name"": ""Shahmen"", ""kills"": 3, ""deaths"": 14, ""flag"": ""🇺"", ""team"": ""CT""}, {""name"": ""OBBE_ex"", ""kills"": 19, ""deaths"": 10, ""flag"": ""🇩"", ""team"": ""TR""}, {""name"": ""Henri"", ""kills"": 3, ""deaths"": 1, ""flag"": ""🇧"", ""team"": ""TR""}]",2025-09-20,2
de_dust2,First Half,5,10,"[{""name"": ""DANT1"", ""kills"": 16, ""deaths"": 11, ""flag"": ""🏳"", ""team"": ""CT""}, {""name"": ""Bang Bang"", ""kills"": 11, ""deaths"": 9, ""flag"": ""🏳"", ""team"": ""CT""}, {""name"": ""JhoN"", ""kills"": 8, ""deaths"": 13, ""flag"": ""🇷"", ""team"": ""CT""}, {""name"": ""АFК"", ""kills"": 5, ""deaths"": 12, ""flag"": ""🇳"", ""team"": ""CT""}, {""name"": ""MrBob"", ""kills"": 5, ""deaths"": 2, ""flag"": ""🏳"", ""team"": ""CT""}, {""name"": ""REDWOOD OG"", ""kills"": 22, ""deaths"": 7, ""flag"": ""🇺"", ""team"": ""TR""}, {""name"": ""亡廾乇亡片爪丹卞乇"", ""kills"": 12, ""deaths"": 9, ""flag"": ""🇩"", ""team"": ""TR""}, {""name"": ""RichNigga_ex"", ""kills"": 12, ""deaths"": 9, ""flag"": ""🇨"", ""team"": ""TR""}, {""name"": ""Barkas"", ""kills"": 11, ""deaths"": 8, ""flag"": ""🇨"", ""team"": ""TR""}, {""name"": ""OBBE_ex"", ""kills"": 10, ""deaths"": 13, ""flag"": ""🇳"", ""team"": ""TR""}]",2025-09-20,2
de_dust2,Second Half,6,4,"[{""name"": ""亡廾乇亡片爪丹卞乇"", ""kills"": 12, ""deaths"": 7, ""flag"": ""🇩"", ""team"": ""CT""}, {""name"": ""RichNigga_ex"", ""kills"": 11, ""deaths"": 7, ""flag"": ""🇨"", ""team"": ""CT""}, {""name"": ""OBBE_ex"", ""kills"": 7, ""deaths"": 8, ""flag"": ""🇳"", ""team"": ""CT""}, {""name"": ""REDWOOD OG"", ""kills"": 7, ""deaths"": 8, ""flag"": ""🇺"", ""team"": ""CT""}, {""name"": ""Barkas"", ""kills"": 7, ""deaths"": 5, ""flag"": ""🇨"", ""team"": ""CT""}, {""name"": ""DANT1"", ""kills"": 12, ""deaths"": 8, ""flag"": ""🏳"", ""team"": ""TR""}, {""name"": ""Bang Bang"", ""kills"": 10, ""deaths"": 6, ""flag"": ""🏳"", ""team"": ""TR""}, {""name"": ""JhoN"", ""kills"": 7, ""deaths"": 7, ""flag"": ""🇷"", ""team"": ""TR""}, {""name"": ""MrBob"", ""kills"": 4, ""deaths"": 8, ""flag"": ""🏳"", ""team"": ""TR""}, {""name"": ""АFК"", ""kills"": 2, ""deaths"": 9, ""flag"": ""🇳"", ""team"": ""TR""}]",2025-09-20,3
de_mirage,First Half,5,10,"[{""name"": ""亡廾乇亡片爪丹卞乇"", ""kills"": 22, ""deaths"": 12, ""flag"": ""🇩"", ""team"": ""CT""}, {""name"": ""RichNigga_ex"", ""kills"": 12, ""deaths"": 11, ""flag"": ""🇨"", ""team"": ""CT""}, {""name"": ""poopies__"", ""kills"": 12, ""deaths"": 14, ""flag"": ""🇺"", ""team"": ""CT""}, {""name"": ""MrBob"", ""kills"": 5, ""deaths"": 13, ""flag"": ""🇺"", ""team"": ""CT""}, {""name"": ""JhoN"", ""kills"": 5, ""deaths"": 14, ""flag"": ""🇷"", ""team"": ""CT""}, {""name"": ""OBBE_ex"", ""kills"": 20, ""deaths"": 10, ""flag"": ""🇳"", ""team"": ""TR""}, {""name"": ""REDWOOD OG"", ""kills"": 16, ""deaths"": 11, ""flag"": ""🇺"", ""team"": ""TR""}, {""name"": ""Barkas"", ""kills"": 14, ""deaths"": 6, ""flag"": ""🇨"", ""team"": ""TR""}, {""name"": ""Bang Bang"", ""kills"": 13, ""deaths"": 10, ""flag"": ""🏳"", ""team"": ""TR""}, {""name"": ""АFК"", ""kills"": 7, ""deaths"": 10, ""flag"": ""🇳"", ""team"": ""TR""}]",2025-09-20,3
de_mirage,Second Half,6,1,"[{""name"": ""Barkas"", ""kills"": 19, ""deaths"": 2, ""flag"": ""🇨"", ""team"": ""CT""}, {""name"": ""Bang Bang"", ""kills"": 10, ""deaths"": 4, ""flag"": ""🏳"", ""team"": ""CT""}, {""name"": ""REDWOOD OG"", ""kills"": 8, ""deaths"": 5, ""flag"": ""🇺"", ""team"": ""CT""}, {""name"": ""АFК"", ""kills"": 2, ""deaths"": 4, ""flag"": ""🇳"", ""team"": ""CT""}, {""name"": ""OBBE_ex"", ""kills"": 2, ""deaths"": 4, ""flag"": ""🇳"", ""team"": ""CT""}, {""name"": ""亡廾乇亡片爪丹卞乇"", ""kills"": 6, ""deaths"": 7, ""flag"": ""🇩"", ""team"": ""TR""}, {""name"": ""MrBob"", ""kills"": 5, ""deaths"": 7, ""flag"": ""🇺"", ""team"": ""TR""}, {""name"": ""JhoN"", ""kills"": 4, ""deaths"": 7, ""flag"": ""🇷"", ""team"": ""TR""}, {""name"": ""RichNigga_ex"", ""kills"": 3, ""deaths"": 7, ""flag"": ""🏳"", ""team"": ""TR""}, {""name"": ""poopies__"", ""kills"": 1, ""deaths"": 7, ""flag"": ""🇺"", ""team"": ""TR""}]",2025-09-20,4
de_nuke,First Half,4,11,"[{""name"": ""hold ma beer"", ""kills"": 15, ""deaths"": 12, ""flag"": ""🇫"", ""team"": ""CT""}, {""name"": ""亡廾乇亡片爪丹卞乇"", ""kills"": 15, ""deaths"": 12, ""flag"": ""🇩"", ""team"": ""CT""}, {""name"": ""poopies__"", ""kills"": 12, ""deaths"": 14, ""flag"": ""🇺"", ""team"": ""CT""}, {""name"": ""JhoN"", ""kills"": 8, ""deaths"": 14, ""flag"": ""🇷"", ""team"": ""CT""}, {""name"": ""АFК"", ""kills"": 4, ""deaths"": 13, ""flag"": ""🇳"", ""team"": ""CT""}, {""name"": ""ppe - RAT of RATs"", ""kills"": 23, ""deaths"": 10, ""flag"": ""🇬"", ""team"": ""TR""}, {""name"": ""MrBob"", ""kills"": 16, ""deaths"": 7, ""flag"": ""🇺"", ""team"": ""TR""}, {""name"": ""Barkas"", ""kills"": 15, ""deaths"": 11, ""flag"": ""🇨"", ""team"": ""TR""}, {""name"": ""RichNigga_ex"", ""kills"": 11, ""deaths"": 11, ""flag"": ""🇨"", ""team"": ""TR""}, {""name"": ""OBBE_ex"", ""kills"": 7, ""deaths"": 13, ""flag"": ""🇳"", ""team"": ""TR""}]",2025-09-21,4
de_nuke,Second Half,5,3,"[{""name"": ""Barkas"", ""kills"": 19, ""deaths"": 3, ""flag"": ""🇨"", ""team"": ""CT""}, {""name"": ""MrBob"", ""kills"": 9, ""deaths"": 5, ""flag"": ""🇺"", ""team"": ""CT""}, {""name"": ""RichNigga_ex"", ""kills"": 7, ""deaths"": 7, ""flag"": ""🇨"", ""team"": ""CT""}, {""name"": ""ppe - RAT of RATs"", ""kills"": 4, ""deaths"": 7, ""flag"": ""🇬"", ""team"": ""CT""}, {""name"": ""OBBE_ex"", ""kills"": 3, ""deaths"": 8, ""flag"": ""🇳"", ""team"": ""CT""}, {""name"": ""hold ma beer"", ""kills"": 12, ""deaths"": 6, ""flag"": ""🇫"", ""team"": ""TR""}, {""name"": ""亡廾乇亡片爪丹卞乇"", ""kills"": 8, ""deaths"": 7, ""flag"": ""🇩"", ""team"": ""TR""}, {""name"": ""АFК"", ""kills"": 7, ""deaths"": 6, ""flag"": ""🇳"", ""team"": ""TR""}, {""name"": ""JhoN"", ""kills"": 6, ""deaths"": 7, ""flag"": ""🇷"", ""team"": ""TR""}, {""name"": ""poopies__"", ""kills"": 3, ""deaths"": 7, ""flag"": ""🇺"", ""team"": ""TR""}]",2025-09-21,5
de_tuscan,First Half,7,7,"[{""name"": ""hold ma beer"", ""kills"": 26, ""deaths"": 8, ""flag"": ""🇫"", ""team"": ""CT""}, {""name"": ""bondadm007"", ""kills"": 20, ""deaths"": 9, ""flag"": ""🇺"", ""team"": ""CT""}, {""name"": ""亡廾乇亡片爪丹卞乇"", ""kills"": 12, ""deaths"": 11, ""flag"": ""🇩"", ""team"": ""CT""}, {""name"": ""АFК"", ""kills"": 8, ""deaths"": 14, ""flag"": ""🇳"", ""team"": ""CT""}, {""name"": ""Edog"", ""kills"": 4, ""deaths"": 13, ""flag"": ""🇨"", ""team"": ""CT""}, {""name"": ""ppe - RAT of RATs"", ""kills"": 22, ""deaths"": 11, ""flag"": ""🇬"", ""team"": ""TR""}, {""name"": ""OBBE_ex"", ""kills"": 15, ""deaths"": 11, ""flag"": ""🇳"", ""team"": ""TR""}, {""name"": ""JhoN"", ""kills"": 9, ""deaths"": 13, ""flag"": ""🇷"", ""team"": ""TR""}, {""name"": ""MrBob"", ""kills"": 8, ""deaths"": 13, ""flag"": ""🇺"", ""team"": ""TR""}, {""name"": ""RichNigga_ex"", ""kills"": 8, ""deaths"": 12, ""flag"": ""🇨"", ""team"": ""TR""}]",2025-09-21,5
